year,avg_temp,avg_temp1,avg_temp2,sun,sun1,sun2,sun3,avg_wind,avg_wind1,avg_wind2,avg_cloud_quantity,avg_cloud_quantity1,avg_cloud_quantity2,rain_sum,rain_sum1,rain_sum2,rain_sum3,Year
2013/4/1,14.8,8,1,198.8,0,8,1,4.6,8,1,6.4,8,1,281,0,8,1,
2013/5/1,19.1,8,1,248.3,0,8,1,3.8,8,1,6.8,8,1,75.5,0,8,1,
2013/6/1,22,8,1,141.8,0,8,1,3.3,8,1,8.7,8,1,183,0,8,1,
2013/7/1,26.3,8,1,176.8,0,8,1,3.2,8,1,8.8,8,1,80,0,8,1,
2013/8/1,28.4,8,1,242.5,0,8,1,3.3,8,1,7,8,1,79.5,0,8,1,
2013/9/1,24.5,8,1,179,0,8,1,3.6,8,1,6.5,8,1,192,0,8,1,
2013/10/1,19.4,8,1,123.9,0,8,1,4,8,1,7.9,8,1,394,0,8,1,
2013/11/1,13.2,8,1,185,0,8,1,3.5,8,1,4.6,8,1,21,0,8,1,
2013/12/1,8.2,8,1,193.2,0,8,1,3.4,8,1,4.7,8,1,54,0,8,1,
2014/1/1,6.4,8,1,206.6,0,8,1,3.7,8,1,4.9,8,1,38.5,0,8,1,
2014/2/1,5.8,8,1,126,0,8,1,4.2,8,1,7.6,8,1,127.5,0,8,1,
2014/3/1,10.1,8,1,197.5,0,8,1,4.3,8,1,6.3,8,1,128,0,8,1,
2014/4/1,14.3,8,1,222,0,8,1,3.4,8,1,6,8,1,154.5,0,8,1,
2014/5/1,19.5,8,1,253,0,8,1,3.8,8,1,6.4,8,1,127.5,0,8,1,
2014/6/1,22.6,8,1,172.1,0,8,1,2.9,8,1,8.4,8,1,348.5,0,8,1,
2014/7/1,25.9,8,1,197.5,0,8,1,3,8,1,7.4,8,1,68.5,0,8,1,
2014/8/1,26.8,8,1,197.3,0,8,1,4.1,8,1,7.2,8,1,125.5,0,8,1,
2014/9/1,22.8,8,1,166.6,0,8,1,3.1,8,1,7.6,8,1,88.5,0,8,1,
2014/10/1,18.6,8,1,142.6,0,8,1,3.3,8,1,7.3,8,1,476,0,8,1,
2014/11/1,14,8,1,142.2,0,8,1,3.5,8,1,6.4,8,1,90,0,8,1,
2014/12/1,7.5,8,1,197.3,0,8,1,3.4,8,1,4.4,8,1,87,0,8,1,
2015/1/1,6.2,8,1,188.9,0,8,1,3.7,8,1,4.5,8,1,106.5,0,8,1,
2015/2/1,6.4,8,1,167.3,0,8,1,3.5,8,1,5.6,8,1,53,0,8,1,
2015/3/1,10.5,8,1,184.9,0,8,1,3.9,8,1,6,8,1,113,0,8,1,
2015/4/1,14.6,8,1,152.5,0,8,1,3.7,8,1,8.1,8,1,121,0,8,1,
2015/5/1,20.8,8,1,249.9,0,8,1,3.6,8,1,7,8,1,69.5,0,8,1,
2015/6/1,21.9,8,1,143.1,0,8,1,2.8,8,1,8.9,8,1,145.5,0,8,1,
2015/7/1,26,8,1,204.8,0,8,1,3.6,8,1,7.7,8,1,325.5,0,8,1,
2015/8/1,26.8,8,1,176.8,0,8,1,3.3,8,1,7.4,8,1,118,0,8,1,
2015/9/1,22.9,8,1,125.4,0,8,1,3.2,8,1,8.5,8,1,483,0,8,1,
2015/10/1,18.9,8,1,192,0,8,1,3.3,8,1,6.1,8,1,54,0,8,1,
2015/11/1,14.7,8,1,122.9,0,8,1,3.2,8,1,7.1,8,1,137,0,8,1,
2015/12/1,10.1,8,1,167.6,0,8,1,3.5,8,1,5.9,8,1,110,0,8,1,
2016/1/1,6.9,8,1,194.2,0,8,1,3.1,8,1,4.6,8,1,73.5,0,8,1,
2016/2/1,7.8,8,1,168.4,0,8,1,3.7,8,1,5.8,8,1,101.5,0,8,1,
2016/3/1,10.5,8,1,155.6,0,8,1,3.4,8,1,7.1,8,1,206.5,0,8,1,
